,quoteSourceName,regularMarketOpen,averageDailyVolume3Month,exchange,regularMarketTime,volume24Hr,regularMarketDayHigh,shortName,averageDailyVolume10Day,longName,regularMarketChange,currencySymbol,regularMarketPreviousClose,postMarketTime,preMarketPrice,preMarketTime,exchangeDataDelayedBy,postMarketChange,postMarketPrice,exchangeName,preMarketChange,circulatingSupply,regularMarketDayLow,priceHint,currency,regularMarketPrice,regularMarketVolume,lastMarket,regularMarketSource,openInterest,marketState,underlyingSymbol,marketCap,quoteType,preMarketChangePercent,volumeAllCurrencies,postMarketSource,strikePrice,symbol,postMarketChangePercent,preMarketSource,maxAge,fromCurrency,regularMarketChangePercent
AAL,Nasdaq Real Time Price,30,8080925,NMS,2020-02-12 18:00:01 UTC+0000,,30.78,"American Airlines Group, Inc.",9442657,American Airlines Group Inc.,0.62999916,$,29.84,2020-02-12 20:57:14 UTC+0000,30,2020-02-12 11:18:26 UTC+0000,0,-0.21999931,30.25,NasdaqGS,0.16,,29.99,2,USD,30.47,9213541,,FREE_REALTIME,,POST,,13523103744,EQUITY,0.00536193,,FREE_REALTIME,,AAL,-0.007220194,FREE_REALTIME,1,,0.021112572
AAPL,Nasdaq Real Time Price,321.47,29498627,NMS,2020-02-12 18:00:01 UTC+0000,,327.21,Apple Inc.,30574128,Apple Inc.,7.590027,$,319.61,2020-02-12 20:57:33 UTC+0000,321.53,2020-02-12 11:29:59 UTC+0000,0,-1.7200012,325.48,NasdaqGS,1.9200134,,321.47,2,USD,327.2,26301563,,FREE_REALTIME,,POST,,1423019081728,EQUITY,0.006007364,,FREE_REALTIME,,AAPL,-0.0052567273,DELAYED,1,,0.023747778
ADBE,Nasdaq Real Time Price,370.64,2190262,NMS,2020-02-12 18:00:01 UTC+0000,,374.425,Adobe Inc.,2422700,Adobe Inc.,5.01001,$,369.28,2020-02-12 19:33:55 UTC+0000,370.61,2020-02-12 11:29:46 UTC+0000,0,0,374.29,NasdaqGS,1.32999,,367.1538,2,USD,374.29,2091026,,FREE_REALTIME,,POST,,182195765248,EQUITY,0.0036015701,,FREE_REALTIME,,ADBE,0,FREE_REALTIME,1,,0.013566967000000001
