Date,ATVI,ADBE,AMD,ALXN,ALGN,GOOGL,GOOG,AMZN,AAL,AMGN,ADI,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CERN,CHTR,CHKP,CTAS,CSCO,CTXS,CTSH,CMCSA,COST,CSX,DLTR,EBAY,EA,EXPE,FB,FAST,FISV,FOXA,FOX,GILD,HAS,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,JD,KLAC,LRCX,LBTYK,LBTYA,LULU,MAR,MXIM,MELI,MCHP,MU,MSFT,MDLZ,MNST,MYL,NTAP,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PYPL,PEP,QCOM,REGN,ROST,SIRI,SWKS,SBUX,SNPS,TTWO,TSLA,TXN,KHC,TMUS,ULTA,UAL,VRSN,VRSK,VRTX,WBA,WDC,WLTW,WDAY,WYNN,XEL,XLNX
2020-02-18 00:00:00,63.36000061035156,380.20001220703125,54.939998626708984,102.8499984741211,273.0,1514.3399658203125,1515.0,2125.02001953125,29.040000915527344,224.14999389648438,116.2300033569336,315.3599853515625,64.2300033569336,307.3999938964844,209.47000122070312,181.36000061035156,134.02000427246094,343.6600036621094,88.45999908447266,1972.25,315.0,78.18000030517578,77.12000274658203,535.25,116.41000366210938,300.92999267578125,46.81999969482422,121.94000244140625,68.33999633789062,46.13999938964844,319.0,79.36000061035156,88.9000015258789,38.279998779296875,109.08999633789062,122.06999969482422,213.5500030517578,38.279998779296875,122.94999694824219,37.7599983215332,37.2599983215332,67.55999755859375,97.48999786376953,72.18000030517578,288.3800048828125,299.0,79.0,66.66000366210938,303.95001220703125,601.3300170898438,110.06999969482422,42.41999816894531,167.0,323.239990234375,19.309999465942383,20.34000015258789,254.00999450683594,144.22999572753906,63.119998931884766,734.3800048828125,108.22000122070312,57.06999969482422,185.61000061035156,58.959999084472656,69.43000030517578,21.790000915527344,53.970001220703125,353.010009765625,379.29998779296875,285.6400146484375,134.41000366210938,393.2300109863281,74.56999969482422,89.3499984741211,122.58000183105469,147.11000061035156,87.83000183105469,396.82000732421875,121.58000183105469,7.190000057220459,116.06999969482422,89.37000274658203,164.00999450683594,113.23999786376953,841.5999755859375,131.10000610351562,26.770000457763672,96.8499984741211,295.4599914550781,79.0,209.39999389648438,170.8000030517578,244.9199981689453,52.40999984741211,67.72000122070312,214.02000427246094,196.8800048828125,132.22999572753906,70.62999725341797,88.61000061035156
2020-02-19 00:00:00,64.0,383.8299865722656,57.9900016784668,102.37999725341797,271.260009765625,1527.199951171875,1525.0699462890625,2167.800048828125,28.84000015258789,222.94000244140625,125.05999755859375,320.0,66.5,311.1499938964844,209.3300018310547,180.5,134.24000549316406,338.0,89.19000244140625,1982.760009765625,313.0,79.0,76.94000244140625,539.72998046875,116.5999984741211,303.79998779296875,46.689998626708984,123.63999938964844,68.37000274658203,46.220001220703125,322.0799865722656,79.80000305175781,91.11000061035156,38.029998779296875,110.0999984741211,120.9800033569336,217.99000549316406,38.369998931884766,122.6500015258789,37.93000030517578,37.2400016784668,67.19999694824219,97.22000122070312,72.87000274658203,288.0,301.67999267578125,79.69000244140625,66.38999938964844,305.5,596.1400146484375,110.0999984741211,42.83000183105469,172.2100067138672,331.17999267578125,19.329999923706055,20.280000686645508,261.0,144.55999755859375,63.0,733.760009765625,108.04000091552734,58.58000183105469,188.05999755859375,59.849998474121094,69.72000122070312,21.280000686645508,53.15999984741211,354.79998779296875,388.1199951171875,301.489990234375,134.91000366210938,394.9599914550781,74.37000274658203,89.72000122070312,122.62999725341797,145.6199951171875,88.91999816894531,397.8599853515625,122.95999908447266,7.21999979019165,118.08000183105469,89.48999786376953,165.24000549316406,114.0999984741211,923.5,132.89999389648438,27.360000610351562,101.16000366210938,299.8999938964844,80.94000244140625,210.88999938964844,165.47999572753906,249.85000610351562,51.81999969482422,68.9800033569336,213.38999938964844,200.39999389648438,134.50999450683594,70.94000244140625,90.37999725341797
2020-02-20 00:00:00,64.0199966430664,384.0,58.439998626708984,102.95999908447266,277.239990234375,1519.010009765625,1522.0,2173.070068359375,28.239999771118164,223.1999969482422,124.4000015258789,322.6300048828125,67.0,315.8500061035156,210.44000244140625,180.6699981689453,135.0,342.17999267578125,89.80999755859375,1960.0,313.9599914550781,79.45999908447266,76.79000091552734,542.010009765625,116.52999877929688,302.510009765625,46.09000015258789,122.13999938964844,68.55999755859375,45.79999923706055,322.32000732421875,80.08000183105469,91.91000366210938,37.34000015258789,108.72000122070312,121.19999694824219,216.52000427246094,38.40999984741211,123.30000305175781,37.70000076293945,37.18000030517578,67.26000213623047,97.55999755859375,73.0,290.2200012207031,304.0,82.0,67.04000091552734,304.3900146484375,610.989990234375,109.93000030517578,42.9900016784668,171.74000549316406,331.95001220703125,19.739999771118164,20.530000686645508,262.92999267578125,147.52999877929688,63.02000045776367,742.7899780273438,108.7699966430664,59.880001068115234,186.9499969482422,58.93000030517578,69.83000183105469,20.84000015258789,53.20000076293945,353.5799865722656,386.55999755859375,312.7699890136719,134.3300018310547,391.1499938964844,74.16999816894531,90.29000091552734,123.86000061035156,145.77000427246094,90.80999755859375,399.8999938964844,122.83999633789062,7.28000020980835,118.77999877929688,89.7300033569336,159.05999755859375,113.33999633789062,911.9500122070312,132.61000061035156,27.270000457763672,100.0999984741211,296.04998779296875,79.30000305175781,210.27000427246094,168.8699951171875,247.2899932861328,52.06999969482422,69.5999984741211,211.4600067138672,196.0,134.22999572753906,70.73999786376953,90.55999755859375
2020-02-21 00:00:00,63.81999969482422,378.0199890136719,56.709999084472656,102.1500015258789,270.79998779296875,1504.5799560546875,1508.030029296875,2142.14990234375,28.1200008392334,222.24000549316406,122.91999816894531,318.6199951171875,65.91000366210938,310.20001220703125,205.0,179.8000030517578,131.35000610351562,336.9700012207031,89.9000015258789,1965.0,308.5,75.95999908447266,76.47000122070312,537.3400268554688,117.02999877929688,294.8900146484375,46.72999954223633,119.01000213623047,69.12999725341797,45.7599983215332,322.55999755859375,79.88999938964844,92.70999908447266,37.34000015258789,108.48999786376953,120.5,213.47999572753906,38.84000015258789,121.5199966430664,36.709999084472656,36.290000915527344,67.18000030517578,98.04000091552734,68.6500015258789,280.6400146484375,300.0,82.27999877929688,65.18000030517578,300.6000061035156,612.3599853515625,109.54000091552734,41.470001220703125,165.6699981689453,326.2200012207031,20.190000534057617,21.309999465942383,263.0,145.3800048828125,62.04999923706055,739.8800048828125,107.16999816894531,58.630001068115234,183.1699981689453,58.849998474121094,70.0199966430664,20.84000015258789,53.25,350.0,385.3299865722656,304.19000244140625,134.58999633789062,393.29998779296875,75.0,89.94999694824219,121.72000122070312,145.05999755859375,88.55999755859375,396.07000732421875,123.26000213623047,7.329999923706055,116.8499984741211,88.0,153.52000427246094,114.69999694824219,906.97998046875,130.75999450683594,27.200000762939453,98.97000122070312,299.760009765625,79.4000015258789,207.72000122070312,168.69000244140625,247.3000030517578,51.86000061035156,68.4800033569336,208.5,190.0,131.50999450683594,70.72000122070312,89.13999938964844
ATVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
